"";"rok";"miesiac";"si_miesiac";"si_norm"
"1";2020;1;1,85333333333333;0,0185333333333333
"2";2020;2;6,13413793103448;0,0613413793103448
"3";2020;3;41,4587096774193;0,414587096774193
"4";2020;4;84,197;0,84197
"5";2020;5;81,5383870967742;0,815383870967742
"6";2020;6;57,7776666666667;0,577776666666667
"7";2020;7;42,6796774193548;0,426796774193548
"8";2020;8;39,81;0,3981
"9";2020;9;30,494;0,30494
"10";2020;10;43,088064516129;0,43088064516129
"11";2020;11;74,26;0,7426
"12";2020;12;75,1793548387097;0,751793548387097
"13";2021;1;73,5083870967742;0,735083870967742
"14";2021;2;71,4321428571428;0,714321428571429
"15";2021;3;72,0432258064516;0,720432258064516
"16";2021;4;74,1376666666667;0,741376666666667
"17";2021;5;63,5061290322581;0,635061290322581
"18";2021;6;51,9033333333333;0,519033333333333
"19";2021;7;42,4493548387097;0,424493548387097
"20";2021;8;36,3554838709677;0,363554838709677
"21";2021;9;34,516;0,34516
"22";2021;10;32,9374193548387;0,329374193548387
"23";2021;11;38,527;0,38527
"24";2021;12;46,6851612903226;0,466851612903226
"25";2022;1;45,3687096774194;0,453687096774194
"26";2022;2;42,4939285714286;0,424939285714286
"27";2022;3;21,5261290322581;0,215261290322581
"28";2022;4;14,81;0,1481
"29";2022;5;14,81;0,1481
"30";2022;6;14,81;0,1481
"31";2022;7;14,81;0,1481
"32";2022;8;12,3035483870968;0,123035483870968
"33";2022;9;9,26;0,0926
"34";2022;10;9,26;0,0926
"35";2022;11;9,26;0,0926
"36";2022;12;9,26;0,0926
"37";2023;1;NA;NA
"38";2023;2;NA;NA
"39";2023;3;NA;NA
"40";2023;4;NA;NA
"41";2023;5;NA;NA
"42";2023;6;NA;NA
"43";2023;7;NA;NA
"44";2023;8;NA;NA
"45";2023;9;NA;NA
"46";2023;10;NA;NA
"47";2023;11;NA;NA
"48";2023;12;NA;NA
"49";2024;1;NA;NA
"50";2024;2;NA;NA
"51";2024;3;NA;NA
"52";2024;4;NA;NA
"53";2024;5;NA;NA
"54";2024;6;NA;NA
"55";2024;7;NA;NA
"56";2024;8;NA;NA
